,submission_date,tot_cases
0,01/01/2021,20236863
1,01/02/2021,20516864
2,01/03/2021,20725195
3,01/04/2021,20907526
4,01/05/2021,21142325
5,01/06/2021,21392428
6,01/07/2021,21672499
7,01/08/2021,21984548
8,01/09/2021,22227973
9,01/10/2021,22445764
10,01/11/2021,22648795
11,01/12/2021,22870619
12,01/13/2021,23094981
13,01/14/2021,23320853
14,01/15/2021,23566587
15,01/16/2021,23779636
16,01/17/2021,23964089
17,01/18/2021,24116859
18,01/19/2021,24265848
19,01/20/2021,24454201
20,01/21/2021,24643035
21,01/22/2020,46
22,01/22/2021,24832338
23,01/23/2020,47
24,01/23/2021,25002046
25,01/24/2020,48
26,01/24/2021,25142163
27,01/25/2020,51
28,01/25/2021,25277202
29,01/26/2020,54
30,01/26/2021,25426878
31,01/27/2020,55
32,01/27/2021,25582671
33,01/28/2020,56
34,01/28/2021,25739304
35,01/29/2020,57
36,01/29/2021,25887849
37,01/30/2020,59
38,01/30/2021,26044783
39,01/31/2020,63
40,01/31/2021,26154850
41,02/01/2020,66
42,02/01/2021,26281166
43,02/02/2020,67
44,02/02/2021,26400381
45,02/03/2020,74
46,02/03/2021,26519304
47,02/04/2020,75
48,02/04/2021,26644137
49,02/05/2020,76
50,02/05/2021,26771431
51,02/06/2020,76
52,02/06/2021,26879794
53,02/07/2020,77
54,02/07/2021,26970783
55,02/08/2020,78
56,02/08/2021,27053038
57,02/09/2020,80
58,02/09/2021,27144717
59,02/10/2020,81
60,02/10/2021,27240929
61,02/11/2020,83
62,02/11/2021,27341930
63,02/12/2020,84
64,02/12/2021,27439521
65,02/13/2020,86
66,02/13/2021,27528002
67,02/14/2020,89
68,02/14/2021,27593818
69,02/15/2020,91
70,02/15/2021,27649261
71,02/16/2020,91
72,02/16/2021,27706110
73,02/17/2020,97
74,02/17/2021,27775865
75,02/18/2020,97
76,02/18/2021,27843349
77,02/19/2020,98
78,02/19/2021,27916125
79,02/20/2020,101
80,02/20/2021,27985884
81,02/21/2020,111
82,02/21/2021,28039824
83,02/22/2020,113
84,02/22/2021,28095392
85,02/23/2020,114
86,02/23/2021,28164564
87,02/24/2020,118
88,02/24/2021,28240161
89,02/25/2020,123
90,02/25/2021,28313861
91,02/26/2020,127
92,02/26/2021,28386775
93,02/27/2020,138
94,02/27/2021,28456833
95,02/28/2020,146
96,02/28/2021,28507245
97,02/29/2020,165
98,03/01/2020,189
99,03/01/2021,28557988
100,03/02/2020,230
101,03/02/2021,28613204
102,03/03/2020,268
103,03/03/2021,28677016
104,03/04/2020,306
105,03/04/2021,28743047
106,03/05/2020,385
107,03/05/2021,28808846
108,03/06/2020,451
109,03/06/2021,28866899
110,03/07/2020,542
111,03/07/2021,28908965
112,03/08/2020,722
113,03/08/2021,28952087
114,03/09/2020,988
115,03/09/2021,29005696
116,03/10/2020,1337
117,03/10/2021,29066446
118,03/11/2020,1682
119,03/11/2021,29126981
120,03/12/2020,2180
121,03/12/2021,29189724
122,03/13/2020,2586
123,03/13/2021,29242445
124,03/14/2020,3086
125,03/14/2021,29282749
126,03/15/2020,4406
127,03/15/2021,29327934
128,03/16/2020,5372
129,03/16/2021,29379950
130,03/17/2020,8424
131,03/17/2021,29437880
132,03/18/2020,12100
133,03/18/2021,29496462
134,03/19/2020,17089
135,03/19/2021,29557821
136,03/20/2020,20729
137,03/20/2021,29618301
138,03/21/2020,26741
139,03/21/2021,29657447
140,03/22/2020,35820
141,03/22/2021,29712896
142,03/23/2020,46964
143,03/23/2021,29772784
